ULAND;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;XGCSWGS84;YGCSWGS84
2;2018;1;15;4;3;3;6;0;0;1;0;0;0;0;1;9.957277077;53.571735474
2;2018;5;17;6;3;2;6;0;0;1;0;0;1;0;0;10.027806202;53.455841611
2;2018;3;11;6;3;2;6;0;0;1;0;0;0;0;0;10.039081317;53.500739705
2;2018;1;5;2;3;9;6;2;0;1;0;0;1;0;1;10.02286318;53.474228446
2;2018;2;17;6;3;5;3;2;0;1;0;0;0;0;0;9.937369638;53.577236951
2;2018;4;16;4;3;6;7;0;0;1;1;0;0;0;0;9.967373968;53.468197206
2;2018;3;17;4;3;2;6;0;0;1;0;0;0;0;0;10.168825036;53.513632985
2;2018;4;14;5;3;2;6;0;0;1;0;0;0;1;0;9.902966641;53.571093543
2;2018;1;18;7;3;2;2;2;0;1;0;0;0;0;0;10.240819413;53.477800199
2;2018;3;11;6;3;3;3;0;0;1;0;0;1;0;0;9.923497872;53.633511391
2;2018;5;17;7;3;2;6;0;0;1;0;0;0;1;0;9.965730413;53.553227024
2;2018;4;13;7;3;2;6;0;0;1;0;0;0;0;0;9.921484942;53.563918235
2;2018;1;8;4;3;3;2;0;1;1;0;0;0;0;1;10.003232133;53.592343239
2;2018;2;11;4;3;2;6;0;0;1;0;0;0;1;0;10.027245657;53.570112094
2;2018;5;19;4;3;2;6;0;0;1;0;0;0;0;0;10.024509703;53.54272319
2;2018;3;12;6;3;2;6;0;0;1;0;0;0;0;0;10.01971612;53.581676511
2;2018;5;12;1;3;2;6;0;0;1;0;0;0;0;0;9.943557647;53.648914929
2;2018;4;9;2;3;3;6;0;0;1;0;0;1;0;0;9.915099962;53.612873619
2;2018;1;20;6;3;2;5;2;0;1;0;0;0;1;1;9.894044653;53.566326306
2;2018;2;11;6;3;2;6;0;0;1;0;0;0;1;1;9.848725254;53.472737661
2;2018;1;2;2;3;1;7;2;0;1;0;0;0;0;1;10.120604068;53.566506615
2;2018;5;16;6;3;0;7;0;1;0;0;0;0;0;0;9.907256547;53.565802289
2;2018;3;15;4;3;9;1;0;0;1;0;0;0;0;1;9.987249387;53.451504581
2;2018;2;13;3;2;2;6;0;0;1;0;0;0;0;0;10.130295229;53.528146059
2;2018;4;15;3;3;2;6;0;0;1;0;0;0;0;0;10.058897758;53.550969981
2;2018;3;15;3;3;2;6;0;0;1;0;0;0;0;0;9.943872399;53.648949779
2;2018;4;16;3;3;4;2;0;1;1;0;0;0;0;0;9.920435799;53.563976596
2;2018;1;18;4;3;5;4;2;0;1;1;0;0;0;0;9.826887746;53.471000486
2;2018;2;13;4;3;2;6;0;0;1;0;0;0;0;0;9.916959071;53.470479296
2;2018;5;6;3;3;3;2;0;1;0;0;0;1;0;0;9.909795748;53.627388699
2;2018;4;13;6;3;2;6;0;0;1;0;0;0;0;0;10.014373559;53.589507163
2;2018;1;18;3;3;2;6;2;0;1;0;0;0;0;1;10.026114633;53.553725938
2;2018;2;14;3;3;5;3;0;1;0;0;0;0;1;0;10.02945001;53.568370757
2;2018;5;8;4;3;1;5;0;1;1;0;0;0;0;0;9.942809033;53.563350072
2;2018;3;12;3;3;2;6;0;0;0;0;0;1;0;0;9.915626352;53.542018549
2;2018;4;9;3;3;3;6;0;0;1;0;0;1;0;0;9.916060846;53.588985316
2;2018;2;9;5;3;0;2;0;0;0;0;0;0;1;0;9.908190914;53.620424271
2;2018;3;16;4;3;0;7;0;1;0;0;0;0;0;0;9.875253067;53.570659466
2;2018;3;22;5;2;6;4;2;0;1;1;0;0;0;1;9.9454287;53.471047645
2;2018;3;11;3;3;2;6;0;0;1;0;0;0;0;0;10.026411483;53.542334437
2;2018;2;19;7;3;3;6;2;0;1;0;0;0;0;1;10.179419365;53.507865264
2;2018;3;16;6;2;1;7;0;0;1;0;0;1;0;0;10.094989746;53.509294781
2;2018;4;20;2;2;2;6;2;0;1;0;1;0;0;0;9.915727906;53.541978833
2;2018;1;3;4;3;5;3;2;0;1;0;0;1;0;1;9.922450463;53.594416563
2;2018;2;13;3;3;2;6;0;0;1;0;0;0;0;1;10.037221922;53.561307027
2;2018;5;17;3;3;1;6;0;0;1;0;0;0;0;1;9.975342751;53.549461906
2;2018;4;5;5;3;1;6;2;0;1;0;0;0;0;1;9.886017433;53.472065889
2;2018;1;6;6;3;3;6;2;0;1;0;0;0;0;1;9.931857436;53.527003412
2;2018;2;16;2;3;2;6;0;0;1;0;0;0;1;1;10.02883105;53.535139195
2;2018;4;11;1;2;0;1;0;0;0;0;1;0;0;0;10.076845727;53.713806705
2;2018;3;1;2;3;4;2;2;1;1;0;0;0;0;0;9.933713428;53.583472629
2;2018;4;18;2;3;2;6;0;0;1;0;0;0;1;0;9.958931157;53.573856615
2;2018;1;16;3;3;3;6;1;0;1;0;0;1;0;0;10.034526098;53.506293772
